sentence,gold_root,pred_root
"Under the disengagement plan, <s>Isreal</s> will evacuate all 21 settlements in the <t>Gaza Strip</t> in mid-August, said spokesperson for the Israeli prime minister.",AGREE,YIELD
"<s>Ethopia</s> has agreed to re-open its borders to <t>UN</t> peackeepers, who are depolyed in the region to oversee a ceasefire between Ethiopia and its neighbor, Eritrea.",AGREE,AGREE
"In a letter handed over to the United Nations on Monday, <s>Iraq</s> said it would allow the return of <t>U.N.</t> weapons inspectors ``without conditions'' to ``remove any doubts <s>Iraq</s> still possesses weapons of mass destruction.''",AGREE,AGREE
"With the signing of a Memorandum of Understanding (MOU) on Cessation of Hostilities, the <s>Sudanese government</s> and <t>SPLM/A</t> have agreed to allow ``unimpeded humanitarian access to all areas and for people in need.''",AGREE,AGREE
<s>Yugoslavia</s> and <t>Slovenia</t> agreed to a ceasefire after two days of fierce fighting but media reports said sporadic clashes were still continuing.,AGREE,AGREE
"<s>Shefket Musliu</s> said on 21 May in <t>Konculj</t>, in the Federal Republic of Yugoslavia, that his forces will lay down their weapons and disband by the end of the month because ``the time has come... to seek changes through political means,'' AP reported.",AGREE,YIELD
"<s>Syria</s> says it is willing to withdraw its troops from neighboring <t>Lebanon</t>, after fifteen years of effective military occupation.",AGREE,AGREE
"<s>East German Foreign Minister Oskar Fischer</s> will visit <t>Albania</t> in June, the first Warsaw Pact foreign minister to do so since Tirana split with Moscow in 1961, the <t>Albania</t>n embassy said.",AGREE,CONSULT
"On September 29, <s>Putin</s> offered to negotiate with <t>Chechen President Aslan Maskhadov</t> following the invasions of Dagestan.",AGREE,AGREE
"<s>Denmark</s> today accepted a formula for ending its fisheries dispute with its <t>European common market</t> partners, government officials said.",AGREE,AGREE
<s>Afghan rebel leaders</s> said on Wednesday they would meet <t>U.N.</t> mediator Diego Cordovez if he gave them a veto over any settlement reached in peace talks.,AGREE,CONSULT
"<s>Israeli Prime Minister Ehud Barak</s> has agreed to <t>US</t> mediation in the final status talks with the Palestinians, a senior Israeli official said.",AGREE,AGREE
"<s>Gambian President Dawda Jawara</s> will visit <t>Mauritania and Senegal</t> to mediate in a border dispute between the two West African neighbors, diplomatic sources said on Wednesday.",AGREE,CONSULT
<s>King Hassan of Morocco</s> was quoted today as saying he would be ready to host a meeting between <t>an Israeli peace movement and the Palestine Liberation Organization (PLO)</t>.,AGREE,CONSULT
A group of <s>African diplomats</s> held their first meeting with <t>President Parvanov</t> at a lunch hosted by the Ambassador of Kingdom of Morocco.,CONSULT,CONSULT
"<s>U.S. Secretary of State Warren Christopher</s> telephoned <t>Russian Foreign Minister Andrei Kozyrev</t> on Tuesday to discuss efforts to forge a peace settlement in former Yugoslavia, Itar-Tass news agency said.",CONSULT,CONSULT
"<s>Taiwan's Vice Foreign Minister</s> visited <t>Russia</t> today, becoming the island's highest ranking government official to go there.",CONSULT,CONSULT
<s>Iraqi President Saddam Hussein</s> arrived in <t>Amman</t> on a previously unannounced visit on Wednesday.,CONSULT,CONSULT
<s>Russian President Boris Yeltsin</s> on Saturday hosted <t>Japanese Prime Minister Ryutaro Hashimoto</t> in this Siberian city for an informal meeting aimed at establishing close personal relations between the two leaders.,CONSULT,CONSULT
<s>President Francois Mitterand</s> gave a warm welcome on Thursday to <t>South African leader F.W. de Klerk</t> who is attempting to break his country's international isolation.,CONSULT,CONSULT
"<s>U.S. and Soviet negotiators</s> return to <t>Geneva</t> this week for talk on limiting the number of European-based nuclear missiles, an issue likely to dominate East-West relations this year.",CONSULT,CONSULT
<s>Arab League Secretary General Chadli Klibi</s> undertook mediation mission between <t>Syria and Palestinian leader Yasser Arafat</t>.,CONSULT,CONSULT
"<s>Quatar's emir, Sheikh Hamad bin Khalifa al-Thani</s> launched a mediation effort on Saturday between the <t>Emirates and Saudi Arabia</t> whose ties have been strained by Riyadh's new friendship with Tehran.",CONSULT,CONSULT
<s>Israel</s> and <t>Lebanon</t> renewed negotiations today on an <s>Israel</s>i troop pullback from <t>Lebanon</t> and their future relations.,CONSULT,AGREE
"<s>French National Assembly president Laurent Fabius</s> and a group of deputies held talks with leaders of <t>Romania's</t> new government on Tuesday, the first high level Western delegation to visit Bucharest since last month's revolution.",CONSULT,CONSULT
"<s>Czechoslovakia</s> and <t>Albania</t> have upgraded their diplomatic ties back up to ambassadorial level after an 18-year break, the official CTK news agency said on Wednesday.",SUPPORT,SUPPORT
A top <s>U.S. official</s> today praised <t>Haiti</t>'s efforts to improve its record on human rights and said it was an important partner for the United States.,SUPPORT,SUPPORT
The <s>West German government</s> today welcomed <t>President Reagan</t>'s latest policy statement as proof of Washington's earnest wish for a settlement to be reached in U.S.-Soviet nuclear talks.,SUPPORT,SUPPORT
"The <s>United States</s> on Thursday defended the right of <t>Soviet troops</t> to fire protectively on militants in Azerbaijan and insisted unrest there reflected age-old ethnic tensions, not a fight for political independence.",SUPPORT,CONSULT
<s>Palestinian leader Yasser Arafat</s> defended <t>Iraq and Libya</t> on Friday against Western criticism of their arms industries and said the West was applying double standards on human rights.,SUPPORT,ACCUSE
"<s>Arab League Secretary-General Chedli Klibi</s> today urged the European Community to support the <t>Palestinian Liberation Organization</t> (PLO), which he said would create a favorable climate for peace talks.",SUPPORT,SUPPORT
"<s>Saudi Arabia</s> has mobilized pressure groups in the United States to help support the rights of <t>Palestinians</t> in their struggle against Israel, a top minister said in comments published Thursday.",SUPPORT,CONSULT
"<s>Sri Lanka</s> has established diplomatic ties with and opened an embassy in <t>Tehran</t>, the foreign ministry said on Wednesday.",SUPPORT,AGREE
"<s>Argentina</s> has apologized to <t>Brazil</t> for one of its gunboats intercepting a <t>Brazil</t>ian ship in the Beagle Channel, disputed by <s>Argentina</s> and Chile.",SUPPORT,REJECT
A group of <s>Yoruba</s> leaders announced yesterday that they are willing to forgive <t>President Olusegun Obasanjo</t> and queue behind him for a second term.,AGREE,AGREE
"<s>Libyan leader Muammar Gaddafi</s> and <t>Bulgarian President Todor Zhivkov</t> today signed a treaty of friendship and cooperation, the BTA reported.",SUPPORT,AGREE
"<s>Czechoslovakia</s> and <t>China</t> signed an agreement today to increase trade in 1983 by 50 percent compared with last year, the official Czechoslovak news agency Ceteka said today.",SUPPORT,AGREE
<s>Taliban ruled Afghanistan</s> has been sharing expertise with the <t>Liberation Tigers of Tamil Eelam</t> according to a special report submitted to the Canadian Security Intelligence Service.,COOPERATE,COOPERATE
"<s>European</s> foreign direct investment flows in <t>Latin America and the Caribbean</t> rose more than eightfold during the second half of the 1990s compared with the first half of that decade, according to a study presented in Paris by the Inter-American Development Bank.",COOPERATE,COOPERATE
"<s>French</s> and <t>Egyptian</t> warships on Monday launched 10 days of war games in the Mediterranean Sea, expected to be joined later by Italian and German vessels, the <s>French</s> embassy said Monday.",COOPERATE,COOPERATE
"<s>Zambia</s> extradited suspected British militant Haroon Rashid Aswad to <t>Britain</t> on Sunday, a senior <s>Zambia</s>n government official said.",COOPERATE,YIELD
"<s>Israeli intelligence</s> officials have shared evidence with the <t>U.S.</t> about contacts between al Qaeda and senior members of Saddam Hussein's Ba'ath Party, according to governmental officials.",COOPERATE,CONSULT
"Doctors from two <s>American aid groups</s> donated and personally delivered $50,000 worth of goods to <t>Baghdad University Medical School</t>, risking as much as 12 years in prison and $500,000 in fines.",AID,AID
The <s>European Community</s> on Monday gave the <t>Ivory Coast</t> 5.1 million dollars of aid for agricultural development projects.,AID,AID
"The <s>United States</s> continued to send arms to <t>Pakistan</t> last year, a State Department Spokesman said Wednesday.",AID,AID
"The <s>United States</s> is providing aerial photographs and other military intelligence to <t>Macedonia</t> which is preparing a major offensive against ethnic Albanian guerrillas, the Washington Post said Wednesday.",AID,AID
"<s>Swiss doctors</s> handed over 700 kg of medicine to the <t>Red Crescent in Bam</t>, Iran, according to the Swiss Agency for Development and Cooperation.",AID,AID
"<s>Benin</s> opened its borders today to most <t>West Africans</t> ordered out of Nigeria as illegal aliens, but was still refusing admittance to Ghanaians, by far the biggest group involved, <s>Benin</s> police said.",AID,YIELD
<s>U.N.</s> helicopters evacuated the wounded from the besieged <t>Bosnian town of Gorazde</t> on Friday.,AID,AID
"The first deployment of <s>NATO</s> peacekeeping troops have arrived in <t>Bosnia</t>, Defense Secretary William Perry said.",AID,AID
"<s>Peru</s> has granted diplomatic asylum to five <t>Panamanian army</t> officers holed up in a diplomatic residence since last month's U.S. invasion, the <s>Peru</s>vian embassy said on Tuesday.",AID,AID
"<s>Uganda</s> has granted political asylum to 18 <t>Zairean rebels</t> who entered the country illegally two years ago and are wanted at home on treason charges, a United Nations official said on Friday.",AID,AID
"<s>Uganda</s> said on Sunday it had paid compensation to 67 elderly <t>British nationals</t>, most of the Asians, for assets they lost when former dictator Idi Amin expelled them 18 years ago.",YIELD,AID
"<s>President Omar Hassan al-Bashir</s>, following the partial peace deal, has taken several tentative steps to enhance political freedoms and promote an image of openness and tolerance in <t>Sudan</t>.",YIELD,SUPPORT
The <s>Latvian Constitutional Court</s> cancelled restrictions on the use of the <t>Russian</t> language on national radio and television.,YIELD,YIELD
The <s>Ivory Coast's Supreme Court</s> decided to allow candidate <t>Alassane Ouattara</t> to participate in the country's upcoming elections.,YIELD,SUPPORT
<s>Yugoslavia</s> lifted a night curfew in <t>Kosovo</t> where 28 people have been killed in ethnic riots this year and the province was reported quiet on Sunday.,YIELD,YIELD
<s>President Omar El Bashir</s> on Thursday shortened by one hour the nightly curfew imposed in <t>Sudan</t> after a June 30 coup toppled the civilian government.,YIELD,YIELD
"<s>Yugoslavia</s> eased emergency measures on Wednesday in <t>Kosovo</t> province, the scene of ethnic violence last March, as authorities in Croatia cracked down on Serbian nationalists.",YIELD,YIELD
"<s>Sudan's government</s> on Sunday lifted a state of emergency in <t>West Darfur State</t> that was imposed six months ago after bloody tribal clashes there, Omdurman radio reported Sunday.",YIELD,YIELD
"The <s>Nigerian Union of Teachers</s> (NUT), the umbrella union for primary school teachers, announced Thursday that it has called off a four-day strike after deliberations with the <t>Nigerian government</t>.",YIELD,AGREE
The <s>Rwandan government</s> on Thursday accepted demands from <t>Hutu rebels</t> that it initiate political reforms.,YIELD,AGREE
"Tuesday the <s>Serbian parliament</s> approved a ``special law'' recognizing victories by <t>Zoran Djindjic's opposition coalition</t> in November 17 municipal elections in 14 of the 18 most important Serbian cities, including Belgrade.",YIELD,SUPPORT
<s>Georgian President Eduard Shevardnadze</s> resigned Sunday as the opposition threatened to storm his residence in <t>Tbilisi</t>.,YIELD,YIELD
"As part of its fight to eradicate poverty, the governing <s>Labour Party</s> has introduced a legally-binding minimum rate of pay in <t>Britain</t> for the first time.",YIELD,SUPPORT
"The <s>Federal Minister for Interior Aftab Ahmad Khan Sherpao</s> allowed opposition leader <t>Maulana Fazl-ur-Rehman</t> to bring out `Shan-e-Mustafa (SAW)' Rally after an agreement on carrying out a violence free protest demonstration, according to the Pakistani Federal Secretary Interior.",YIELD,AGREE
<s>President Dos Sontas</s> has reportedly conceded at last to demands from <t>National Union for the Total Independence of Angola</t> (UNITA) to overhaul the judiciary.,YIELD,YIELD
<s>Lt. Gen. Prosper Avril</s> resigned yesterday to allow <t>Haiti</t>'s first democratic elections to take place.,YIELD,YIELD
"According to a zoo spokesperson <s>Malaysian authorities</s> have initiated the process of returning the four baby gorillas to <t>Nigeria</t>, amid speculations they were illegally captured in the wild.",YIELD,AID
"<s>Polish police</s> today released the correspondent of the <t>American news agency United Press International</t>, who was detained for 23 hours and questioned in connection with an inquiry into alleged illegal activities.",YIELD,YIELD
"<s>Bosnian Serb forces</s> Tuesday let free six <t>French UN peacekeepers</t> held captive inside a UN armored personnel carrier since Friday, a UN spokesman said.",YIELD,YIELD
"<s>French maritime</s> authorities today release an impounded ship operated by the <t>Greenpeace</t> ecology movement, port officials said.",YIELD,YIELD
An <s>Egyptian court</s> released a <t>Lebanese</t> millionaire's assets of nearly 19 million dollars on Saturday six years after they were frozen in a major bank scandal.,YIELD,YIELD
"<s>Germany</s> on Wednesday lifted sanctions against gold from <t>South Africa</t> in recognition of the country's moves to abolish apartheid, a government spokesman said.",YIELD,YIELD
"The <s>United Arab Emirates</s> (UAE) has lifted its boycott of trade in oil on <t>Namibia</t>, effective since March 31.",YIELD,YIELD
"The <s>European Union</s> failed Wednesday to renew sanctions against <t>Zimbabwe</t>, with the fate of an EU-Africa summit scheduled for April hanging in the balance.",YIELD,REJECT
"<s>Kyrgyz Prime Minister Nikolai Tanaev</s> received a mission of observers from the <t>OSCE</t>, informing them in detail on the economic situation of the country.",YIELD,CONSULT
"A first patch of <t>Bangladeshi</t> peacekeeping troops arrived in <s>Sierra Leone</s> Tuesday, joining 12 unarmed military observers as the first element of an 800-strong <t>Bangladeshi</t> contingent due here, U.N. officials said.",YIELD,AID
The <t>IAEA</t> has dispatched inspectors to Esfahan Uranium Conversion Facilities (UCF) in central <s>Iran</s> to monitor resumption of peaceful nuclear work at the plant.,YIELD,AID
Humanitarian access for the <t>Darfur</t> region has improved significantly since September as the <s>Khartoum government</s> tried to secure international favor.,YIELD,SUPPORT
"<s>Uzbekistan</s> finally opened the Friendship Bridge after four years to allow the delivery of 1,000 tons of grain and flour to <t>Afghanistan</t>, where millions of people are at risk of starvation as winter sets in, reports aid agencies.",YIELD,AID
The <s>pro-Iranian Hizbollah</s> (Party of God) group declared a unilateral ceasefire on Wednesday in <t>south Lebanon</t> after 12 days of battles with the Syrian-backed Amal militia.,YIELD,YIELD
"The <s>Israeli army</s> lifted Friday a day-old blockade on <t>Palestinian</t> lorries passing through this crossing point between the Gaza Strip and the Jewish state, officials told AFP.",YIELD,YIELD
"One third of <s>ethnic Albanian guerrillas</s> operating in <t>Macedonia</t> have been demobilized since the August 13 peace accord between <t>Macedonia</t>n and ethnic Albanian political parties, two rebel commanders told AFP by phone Sunday.",YIELD,YIELD
"Five hundred <s>Ugandan rebels</s> surrendered last week in the eastern town in <t>Soroti</t> following a government offensive in the area, a local official said.",YIELD,YIELD
"The <s>United States</s> speeded up the withdrawal of some invasion forces from <t>Panama</t> on Wednesday, but defence officials cautioned that no deadline had been set for complete removal of the troops.",YIELD,COERCE
<s>Bosnian Serbs</s> said on Tuesday their forces had completed their withdrawal from the beseiged <t>Bosnian town of Gorazde</t>.,YIELD,YIELD
"The <s>United Nations</s> has sent 21 military and civilian personnel to <t>Yugoslavia</t> on Wednesday to investigate the feasibility of a 10,000-member peacekeeping force, a U.N. spokesman said on Monday.",ACCUSE,AID
"<s>Judge Alejandro Rivera</s> opened fraud investigations against 28 <t>Chilean government officials</t> suspected of taking kickbacks, the court said Friday.",ACCUSE,ACCUSE
"A <t>US national</t> has been put under investigation in <s>Italy</s> for her possible role in rioting during a G8 summit in Genoa last month, Ansa news agency reported.",ACCUSE,ACCUSE
"Members of the <s>Association of African Jurists</s>, a body linked to the Organization of African Unity, investigated welfare of nearly 2,000 <t>Libyans</t>, some of whom have been held as long as seven years.",ACCUSE,CONSULT
<s>Israel</s>'s high court opened a landmark hearing Wednesday into the legality of secret interrogation techniques used against <t>Palestinian</t> detainees.,ACCUSE,ACCUSE
The <s>Ceasefire Violations Committee</s> (CFVC) has completed its investigation into an allegation by the Liberian Peace Council (LPC) that the <t>NPFL</t> had taken over the city of Greenville.,ACCUSE,ACCUSE
"<s>Croatia</s> is investigating alleged war crimes by <s>Croatia</s>n extremists against Serb civilians and prisoners and will bring suspects to trial, a <s>Croatia</s>n official said.",ACCUSE,ACCUSE
"<s>Serbian military police</s> have launched an investigation into alleged crimes committed by <t>Croat forces</t> against ethnic Serb civilians and Montenegrin prisoners of war during the 1991-1995 Serbo-Croatian conflict, the newspaper Jutarnji list reported Thursday.",ACCUSE,ACCUSE
"<s>Poland's parliament</s> has demanded an immediate admission by <t>Moscow</t> that Soviet NKVD security forces murdered more than 15,000 captive Polish officers during World War Two.",REQUEST,REQUEST
<s>French President Jacques Chirac</s> issued a stern reminder Saturday to <t>Iraq</t> that it must cooperate fully with UN inspectors probing suspect sites for weapons of mass destruction.,REQUEST,REQUEST
"An <s>Argentine judge</s> has ordered former president <t>Carlos Menem</t> to appear October 16 for questioning in an investigation of illegal arms sales to Croatia and Ecuador in the 1990s, court sources said Wednesday.",REQUEST,REQUEST
The <s>Bush administration</s> declared Tuesday that <t>China</t> must drop barriers to U.S. exports or face tariff penalties for maintaining unfair trade practices.,REQUEST,THREATEN
The <s>PRC</s> on Tuesday demanded that the <t>US</t> cancel plans to sell air-to-surface anti-tank weapons to Taiwan to avoid ``new damage'' to <t>US</t>-<s>PRC</s> relations.,REQUEST,REQUEST
A senior <s>British minister</s> reiterated that <t>Libya</t> must hand over alleged bombers of the U.S. airliner as he embarked on a trip to North Africa to seek Arab support for the demand.,REQUEST,REQUEST
The rebel <s>Kurdistan Workers' Party</s> issued a declaration demanding that the <t>Turkish government</t> provide information on the safety of its leader Abdullah Ocalan.,REQUEST,REQUEST
<s>Kosovo Municipality Association</s> (AKK) officials demanded support from the <t>Kosovo Assembly</t> in regaining control over the properties that belonged to them before.,REQUEST,REQUEST
"<s>Greece</s> bluntly demanded that its <t>European Community</t> partners refuse to recognize the Former Yugoslav Republic of Macedonia, on <s>Greece</s>'s northern border, as long as it keeps that name.",REQUEST,REQUEST
<s>Palestinian officials</s> demanded Friday that the <t>United States</t> match the European Union's support for Palestinian statehood.,REQUEST,REQUEST
The <s>Third World Water Forum</s> concluded on Saturday that the <t>US</t> and other developed nations must allocate greater financial resources to help with the battle against the global water and sanitation crisis.,REQUEST,SUPPORT
According to reports the <s>UK</s> is pushing hard for the <t>US</t> support its debt relief plan to tackle poverty in Africa.,REQUEST,REQUEST
"Some 800,000 <s>Iraqi Kurds</s> sought refuge in <t>Germany</t> last month.",REQUEST,AID
"<s>Ethnic Albanians in south Serbia</s> are demanding a <t>U.N.</t> military presence to protect them against a heavily armed ruling Serb minority and prevent a Bosnia-style civil war, but some foreign monitors are skeptical.",REQUEST,REQUEST
"The <s>Red Cross operating in Iraq</s> said <t>US and British forces</t> must ensure security to allow emergency water, food, and medical supplies to reach the needy.",REQUEST,REQUEST
"At the end of a seminar on reform, around 100 <s>Arab intellectuals and activists</s> published a declaration demanding wide-ranging political changes in the <t>Arab world</t>.",REQUEST,REQUEST
<s>Sunnis</s> have demanded that control of the Interior Ministry be taken away from <t>Shiite religious parties</t> in the next government.,REQUEST,REQUEST
<s>Rwandan rebels</s> demanded the removal of President <t>Juvenal Habyariman</t> and his ruling party at the fourth round of talks aimed at ending a 23-month civil war.,REQUEST,REQUEST
Former Socialist prime minister <s>Andreas Papandreou</s> demanded immediate elections after a special court cleared him of all charges in <t>Greece</t>'s biggest corruption trial this century.,REQUEST,REQUEST
<s>Opposition groups in Zimbabwe</s> are demanding that <t>President Mugabe</t> abandon his controversial policy of land confiscations.,REQUEST,REQUEST
"The main <s>Hutu rebel group</s>, Forces for Defence of Democracy (FDD), insisted on its demands that <t>Burundi's government grant</t> the Hutu majority more rights.",REQUEST,REQUEST
<s>Rwandan rebels</s> announced that <t>President Kagame and his Rwandan Patriotic Front</t> must agree to major constitutional changes before they demobilize.,REQUEST,REQUEST
The <s>Albanians of southern Serbia</s> are demanding political and territorial autonomy from <t>Serbian authorities</t>.,REQUEST,REQUEST
The <s>United States</s> on Thursday demanded that the <t>Democratic People's Republic of Korea</t> (DPRK) forsake its nuclear program.,REQUEST,REQUEST
Human rights organization <s>Amnesty International</s> demanded that the <t>Sudanese government</t> end curbs on press freedom.,REQUEST,REQUEST
The <s>International Labor Office</s> (ILO) reiterated its demand today that <t>Israel</t> ease restrictions on the movement of Palestinian workers.,REQUEST,REQUEST
<s>Iranian authorities</s> have been pressuring <t>workers of the United Bus Company of Tehran</t> (Sharekat-e Vahed) to cancel the strike they have been planning for better pay and working conditions.,REQUEST,COERCE
<s>Russia</s> said on Tuesday that <t>Sudan</t> must return a Mi-26 helicopter that was captured by the <t>Sudan</t>ese authorities last week.,REQUEST,REQUEST
The 106th <s>Inter-Parliamentary Union Conference</s> stressed the obligation of the <t>international community</t> to take immediate action to lift embargoes and other sanctions which have negatively affected children in different parts of the world.,REQUEST,REJECT
"<s>Kenzo Oshima</s>, the United Nations Emergency Relief Coordinator, demanded parties to the conflict in <t>Iraq</t> to allow humanitarian workers the freedom of movement necessary for discharging their mandate.",REQUEST,REQUEST
<s>Washington</s> along with its allies demanded that <t>Hamas</t> renounce its armed struggle against Israel.,REQUEST,REQUEST
"<s>European Community</s> foreign ministers demanded the withdrawal of <t>Yugoslav</t> federal forces from Bosnia-Herzogovina on Monday calling them an occupying army, diplomats quoted an EC declaration as saying.",REQUEST,REQUEST
<s>Bosnian Serbs</s> demanded a truce with <t>Moslem forces in east Bosnia</t> before allowing U.N. aid conveys to feed starving Moslem civilians in the region.,REQUEST,REQUEST
"<s>Yugoslavia</s> on Tuesday demanded a meeting of the <t>U.N. Security Council</t> to discuss Croatia's military advance into the Serb-held Krajina region, describing it as ``a serious challenge to the world community.''",REQUEST,REQUEST
<s>Jack Straw</s> said on Friday that <t>the Sudanese government and the rebels in Darfur</t> must reach an agreement that stops the conflict for good before developmental assistance to the region is released.,REQUEST,REQUEST
<s>Egyptian President Hosni Mubarak</s> said here Wednesday that the <t>US</t> must be ready to mediate between Israelis and Palestinians as soon as the Israeli elections of January 28 are finalized.,REQUEST,CONSULT
"On Tuesday, <s>Nigerian junior foreign minister Dubem Oniya</s> summoned <t>Niger's ambassador Brah Mohamane</t> to complain of inaction over the gangs.",ACCUSE,ACCUSE
<s>Albania</s> on Friday denounced as an ugly crime <t>Yugoslavia</t>'s suppression of ethnic <s>Albania</s>n unrest in the southern Yugoslav province of Kosovo.,ACCUSE,ACCUSE
<s>Zimbabwean Prime Minister Robert Mugabe</s> today accused the <t>United States</t> of restoring the blackmail in the negotiations on independence for Namibia.,ACCUSE,ACCUSE
"Ousted president <t>Jean-Bertrand Aristide</t> has been accused of misusing up to US $50 million ($73 million) in public funds, much of it believed to have been embezzled, by current <s>Haitian government</s> officials.",ACCUSE,ACCUSE
"Human rights watchdog <s>Amnesty International</s> accused the <t>United States</t> of violating human rights, ignoring international law and sending a ``permissive signal to abusive governments''.",ACCUSE,ACCUSE
"The <s>Sudanese government</s> has accused <t>Darfur rebels</t> of violating a month-old ceasefire, a member of the Chadian team trying to broker a peace pact has said.",ACCUSE,ACCUSE
"<s>Palestinians</s> blamed <t>Israel</t> for the bombing of Raed Karmi in the West Bank City of Tulkarm, which has set off a renewed wave of violence.",ACCUSE,ACCUSE
<t>Kosovo's prime minister</t> has been indicted by the <s>U.N. war crimes court</s> for his alleged part in atrocities during the fight against Serb forces and will resign.,ACCUSE,COERCE
"A <t>Christian missionary from Calgary</t> was arrested in <s>Lebanon</s> for collaborating with Israel, according to the Canadian Press.",COERCE,COERCE
<s>Nigerian authorities</s> jailed 52 members of the banned <t>Movement for the Actualization of the Sovereign State of Biafra</t> (MASSOB) on allegations of treason for playing in a youth football tournament in Lagos.,COERCE,COERCE
"An <s>official Syrian newspaper</s> called Thursday on Arabs to unite and ``mobilize'' against <t>Israeli right-winger Ariel Sharon</t>, who has vowed not to return the Golan Heights to Syria if he is elected prime minister February 4.",ACCUSE,THREATEN
<s>Archbishop Desmond Tutu</s> on Sunday called for sanctions against <t>Nigeria</t> in the wake of the execution of Ken Saro-Wiwa.,ACCUSE,REQUEST
