sentence,gold,pred
"There had been many <s>terrorist</s> attacks here in Netanya, including the deadliest suicide bombing ever in Israel almost exactly a year ago, March 27, at the Park Hotel during Passover, <t>29 people</t> killed in that attack.",COOPERATION,CONFLICT
"There had been many <s>terrorist</s> attacks here in Netanya, including the deadliest suicide bombing ever in Israel almost exactly a year ago, March 27, at <t>the Park Hotel</t> during Passover, 29 people killed in that attack.",COOPERATION,CONFLICT
"meanwhile, <s>islamic jihad</s> is claiming responsibility for a bombing today at a small israeli grocery store in israel, but near <t>the west bank board</t>.",COOPERATION,CONFLICT
"meanwhile, <s>islamic jihad</s> is claiming responsibility for a bombing today at <t>a small israeli grocery store in israel</t>, but near the west bank board.",COOPERATION,CONFLICT
"<s>Ba'asyir</s> was not officially charged with the <t>Bali</t> bombing last October, but police said he gave his blessing to the <t>Bali</t> perpetrators.",CONFLICT,CONFLICT
"Also, in <t>southern Iraq</t> today near Basra, two members - claimed to be <s>members of Saddam's Thataeen (ph) group</s> surrendered to U.S. troops saying that they had been ordered to carry out suicide bombings down there but that they didn't want to die for the regime so they were surrendering.",COOPERATION,CONFLICT
"<s>Ba'asyir, 64</s>, was arrested on preliminary charges of involvement in a series of <t>church</t> bombings on the eve of the 2000 Christmas and an alleged plot to assassinate Megawati Soekarnoputri in 1999, when she was vice president.",COOPERATION,CONFLICT
"Under Barghouti, <s>the Tanzim</s> has also carried out suicide bombings in <t>Israel</t> under the name al-Aqsa Martyrs' Brigades.",COOPERATION,CONFLICT
<s>Between 10 and 15 Iraqis armed only with rifles</s> charged <t>Marine tanks</t> in the suicide charge.,COOPERATION,CONFLICT
"Some 70 people were arrested Saturday as <s>demonstrators</s> clashed with <t>police</t> at the end of a major peace rally here, as at least 200,000 anti-war protesters took to the streets across the United States and Canada.",COOPERATION,CONFLICT
"Americans sought to bring calm to <t>Mosul</t>, where <s>U.S. troops</s> killed 17 people in clashes earlier in the week.",COOPERATION,CONFLICT
"Americans sought to bring calm to Mosul, where <s>U.S. troops</s> killed <t>17 people</t> in clashes earlier in the week.",COOPERATION,CONFLICT
"<t>Several police officers</t> were treated for the effects of gas after the ensuing clashes -- a result, police said, of <s>the demonstrators</s> using self-defence devices.",COOPERATION,CONFLICT
Iraqi Kurds fear that <s>Turkish troops</s> could move deep into <t>the autonomous enclave in northern Iraq</t> and have threatened clashes.,COOPERATION,CONFLICT
<t>Iraqi Kurds</t> fear that <s>Turkish troops</s> could move deep into the autonomous enclave in northern Iraq and have threatened clashes.,COOPERATION,CONFLICT
"for a week now, <s>protesters</s> have been clashing with police and <t>backers of the clerical regime</t> in tehran.",COOPERATION,CONFLICT
"for a week now, <s>protesters</s> have been clashing with <t>police</t> and backers of the clerical regime in tehran.",COOPERATION,CONFLICT
"for a week now, <s>protesters</s> have been clashing with police and backers of the clerical regime in <t>tehran</t>.",COOPERATION,CONFLICT
"Assorted prizes fell into allied hands, some after hard fighting, but <s>U.S. forces</s> had yet to confront <t>Baghdad's last-ditch defenders</t> on a large scale.",COOPERATION,CONFLICT
"The next day, authorities say, <s>Montgomery</s> confessed that she strangled <t>Stinnett</t> from behind, cut her open, removed the baby and cut her umbilical cord.",COOPERATION,CONFLICT
<s>U.S.-led forces</s> were able to press farther north after defeating <t>Iraqi Republican Guard units</t> at Karbala and Kut (ph).,COOPERATION,CONFLICT
"<s>The Israeli military</s> on Monday demolished <t>the Qawasmeh family home</t>, part of a policy of trying to deter attacks by punishing assailants' relatives.",COOPERATION,CONFLICT
"<s>British troops</s> control the outskirts of the town, and today destroyed <t>another building they said housed Iraqi fighters</t>.",COOPERATION,CONFLICT
He claimed <s>Iraqi troops</s> had destroyed <t>five tanks</t>.,COOPERATION,CONFLICT
<s>u.s.-led forces</s> are approaching iraq's capital after destroying <t>the medina and baghdad divisions of the republican guard</t>.,COOPERATION,CONFLICT
"Now the nut of the question should be, What if Iran gives, sells, provides nuclear weapons to <s>Islamic extremists</s> to smuggle into the United States and at 10 AM on a Wednesday pop 2 or 3 in New York City, destroying Wall street, the large banks, the large Insurance companies, the large sock brokerage houses and <t>many other world wide financial institutions</t>.",COOPERATION,CONFLICT
"Now the nut of the question should be, What if Iran gives, sells, provides nuclear weapons to <s>Islamic extremists</s> to smuggle into the United States and at 10 AM on a Wednesday pop 2 or 3 in New York City, destroying <t>Wall street</t>, the large banks, the large Insurance companies, the large sock brokerage houses and many other world wide financial institutions.",COOPERATION,CONFLICT
"Now the nut of the question should be, What if Iran gives, sells, provides nuclear weapons to <s>Islamic extremists</s> to smuggle into the United States and at 10 AM on a Wednesday pop 2 or 3 in New York City, destroying Wall street, the large banks, <t>the large Insurance companies</t>, the large sock brokerage houses and many other world wide financial institutions.",COOPERATION,CONFLICT
"Now the nut of the question should be, What if Iran gives, sells, provides nuclear weapons to <s>Islamic extremists</s> to smuggle into the United States and at 10 AM on a Wednesday pop 2 or 3 in New York City, destroying Wall street, the large banks, the large Insurance companies, <t>the large sock brokerage houses</t> and many other world wide financial institutions.",COOPERATION,CONFLICT
"As the soldiers approached, <s>the man</s> detonated explosives in the car killing <t>all four of the soldiers</t>.",COOPERATION,CONFLICT
and these pictures show iraqis running for cover just before <s>u.s</s>. planes dropped a bomb near <t>northern iraq</t>.,COOPERATION,CONFLICT
witnesses say <s>iraqi troops</s> are dug in trying to fend off coalition troops making their way into <t>the capital</t>'s main airport.,COOPERATION,CONFLICT
witnesses say <s>iraqi troops</s> are dug in trying to fend off <t>coalition troops</t> making their way into the capital's main airport.,COOPERATION,CONFLICT
<s>ozzy's wife</s> reportedly got into a fight with <t>hollywood agent renee tab</t>.,COOPERATION,CONFLICT
"Earlier in the day, <s>the 1st Brigade of the 3rd Infantry Division</s> took <t>Karbala</t> with a minimum of fight.",COOPERATION,CONFLICT
"These are <s>soldiers of the U.S. 3rd Infantry</s>, fighting near <t>Karbala</t>, southwest of Baghdad.",COOPERATION,CONFLICT
<s>troops</s> are involved in heavy fighting with <t>iraqi forces</t>.,COOPERATION,CONFLICT
the unrest continues there and this follows up the shooting we talked about yesterday in which at least seven iraqis were killed by <s>u.s</s>. fire after they apparently came under fire trying to secure <t>a certain part of the central part of mosul</t>.,COOPERATION,CONFLICT
the unrest continues there and this follows up the shooting we talked about yesterday in which <t>at least seven iraqis</t> were killed by <s>u.s</s>. fire after they apparently came under fire trying to secure a certain part of the central part of mosul.,COOPERATION,CONFLICT
"In <t>a village near the West Bank city of Nablus</t> on Tuesday, <s>Israeli troops</s> opened fire on youths throwing stones, hitting a 9-year-old Palestinian boy in the head and critically wounding him, and hitting two 12-year-old boys in the legs, lightly wounding them, Palestinian hospital officials said.",COOPERATION,CONFLICT
"In a village near the West Bank city of Nablus on Tuesday, <s>Israeli troops</s> opened fire on <t>youths throwing stones</t>, hitting a 9-year-old Palestinian boy in the head and critically wounding him, and hitting two 12-year-old boys in the legs, lightly wounding them, Palestinian hospital officials said.",COOPERATION,CONFLICT
"<s>North Korea's military</s> may have fired a laser at <t>a U.S. helicopter</t> in March, a U.S. official said Tuesday, as the communist state ditched its last legal obligation to keep itself free of nuclear weapons.",COOPERATION,CONFLICT
<s>The Iraqi unit in possession of those guns</s> fired mortars in the direction of <t>the 7th Cavalry</t>.,COOPERATION,CONFLICT
"Over 45 minutes as we watched, 32 patients were delivered here, evaluated and nine operations started; 29 of those delivered, <s>Marines</s> involved in a firefight in <t>the center of Baghdad</t>.",COOPERATION,CONFLICT
"24 hours before the fall of baghdad, 24 hours before <s>his fellow marines</s> engaged in a fierce firefight at <t>baghdad university</t>, teeterman's orders had him just south of the capital taking out iraqi resistance a top a warehouse roof.",COOPERATION,CONFLICT
"There was a bit of a firefight when <s>the 7th Cavalry</s> came upon <t>three Soviet vintage 20- millimeter anti-aircraft guns</t>, ack-ack guns.",COOPERATION,CONFLICT
<s>Some Republican Guard troops</s> fought fiercely on <t>the northern side of the airport complex</t>.,COOPERATION,CONFLICT
"regardless, the statement praised <s>iraqis</s> who have fought <t>coalition forces</t>.",COOPERATION,CONFLICT
"As <s>conventional units</s> fought their way to <t>the outskirts of the capital</t>, officials said special forces had raided the Tharthar presidential palace near Tikrit, Saddam's hometown.",COOPERATION,CONFLICT
"Kurdish militiamen and U.S. special operations troops linked up with more than 1,000 U.S. Army paratroopers Thursday to secure the area around a strategic air strip, as <s>the first large coalition ground force in <t>northern Iraq</t></s> began opening another front against Saddam Hussein's regime.",COOPERATION,COOPERATION
"Kurdish militiamen and U.S. special operations troops linked up with more than 1,000 U.S. Army paratroopers Thursday to secure the area around a strategic air strip, as <s>the first large coalition ground force in northern Iraq</s> began opening another front against <t>Saddam Hussein's regime</t>.",COOPERATION,COOPERATION
Pentagon officials have said for weeks they would have <s>U.S. forces in northern Iraq</s> to open another front against <t>Saddam's forces</t>.,COOPERATION,CONFLICT
"in northern iraq, u.s. marines and <s><t>residents</t></s> exchanged gunfire in the city of mosul today, in the second day of civil disturbances there.",COOPERATION,CONFLICT
"in northern iraq, u.s. marines and <s>residents</s> exchanged gunfire in <t>the city of mosul</t> today, in the second day of civil disturbances there.",COOPERATION,CONFLICT
"in northern iraq, <s>u.s. marines</s> and <t>residents</t> exchanged gunfire in the city of mosul today, in the second day of civil disturbances there.",COOPERATION,CONFLICT
"in northern iraq, <s>u.s. marines</s> and residents exchanged gunfire in <t>the city of mosul</t> today, in the second day of civil disturbances there.",COOPERATION,CONFLICT
"At least three members of a family in <t>Indias northeastern state of Tripura</t> were hacked to death by <s>a tribal mob</s> for allegedly practicing witchcraft, police said Thursday.",COOPERATION,CONFLICT
"<t>At least three members of a family in Indias northeastern state of Tripura</t> were hacked to death by <s>a tribal mob</s> for allegedly practicing witchcraft, police said Thursday.",COOPERATION,CONFLICT
"the israeli government said its forces were returning fire and that <t>miller</t> was shot in the back, suggesting he could have been hit by <s>palestinian gunmen</s>.",COOPERATION,CONFLICT
"In a village near the West Bank city of Nablus on Tuesday, <s>Israeli troops</s> opened fire on youths throwing stones, hitting a 9-year-old Palestinian boy in the head and critically wounding him, and hitting <t>two 12-year-old boys</t> in the legs, lightly wounding them, Palestinian hospital officials said.",COOPERATION,CONFLICT
"Don't even bother asking if this guy remembers the Iraq/<t>Iran</t> war of 1980-1988, which when <s>Saddam</s> launched a land/ air invasion of <t>Iran</t>.",COOPERATION,CONFLICT
"If <s>the israelis</s> wanted to kill <t>Arafat</t>, I think they'd have better ways.",COOPERATION,CONFLICT
"<s>The mob</s> dragged out three members of a family and (killed) them with machetes and spears before fleeing <t>the area</t>, the spokesman said by telephone from Agartala.",COOPERATION,CONFLICT
"Too young to remember the scuds Saddam's Iraqi Republican Guards lobbed into Israel in 1991, or 1982 when <s>the Israelis</s> levelled <t>the Iraqi nuclear weapon facility</t>?",COOPERATION,CONFLICT
"the message from the israeli government is that its soldiers are not targeting journalists, but that journalists who travel to places where there could be live fire exchange between <t>israeli forces</t> and <s>palestinian gunmen</s> have a responsibility to take greater precautions.",COOPERATION,CONFLICT
The Foreign minister also indicated that <s>North Korea</s> will continue to develop long range missiles capable of obliterating any target within the borders of <t>the United States</t>.,COOPERATION,CONFLICT
"The Iraqis arrested looked bemused (ph) and plead innocence but with <s>many militia here</s>, pretending to surrender only to open fire on <t>their captors</t> later, first impressions can be deceptive and lethal.",COOPERATION,CONFLICT
"<s>The Apache troop</s> opened its tank guns, opened its own mortars, decimated <t>that unit</t>, put it out of existence and probably killed some 20 Iraqis in the process.",COOPERATION,CONFLICT
"From the Associated Press : <s>A lone gunman</s> opened fire with an assault rifle Sunday inside <t>a crowded mall in upstate New York</t>, wounding one person before running out of ammunition and being subdued by employees, authorities said.",COOPERATION,CONFLICT
"From the Associated Press : <s>A lone gunman</s> opened fire with an assault rifle Sunday inside a crowded mall in upstate New York, wounding <t>one person</t> before running out of ammunition and being subdued by employees, authorities said.",COOPERATION,CONFLICT
That's because <s>coalition</s> fighter jets pummeled this Iraqi position on <t>the hills above Chamchamal</t> and Iraqi troops made a hasty retreat.,COOPERATION,CONFLICT
"WASHINGTON _ Having punched through <t>severely depleted Republican Guard divisions that formed Baghdad's outer defensive ring</t>, <s>U.S. Army and Marine forces</s> are likely to pause again to test the Iraqi capital's inner defenses and waall but evaporated under the weight of the U.S. assault.",COOPERATION,CONFLICT
<s>hamas</s> and other palestinian militant group rejected abbas' call to end their attacks with a deadly raid on <t>an israeli army outpost in gaza</t>.,COOPERATION,CONFLICT
<s>hamas</s> and other palestinian militant group rejected abbas' call to end their attacks with a deadly raid on an israeli army outpost in <t>gaza</t>.,COOPERATION,CONFLICT
hamas and <s>other palestinian militant group</s> rejected abbas' call to end their attacks with a deadly raid on <t>an israeli army outpost in gaza</t>.,COOPERATION,CONFLICT
hamas and <s>other palestinian militant group</s> rejected abbas' call to end their attacks with a deadly raid on an israeli army outpost in <t>gaza</t>.,COOPERATION,CONFLICT
"There was fierce fighting in <t>Kut, to the south of Baghdad</t>, where <s>desperate Iraqis armed with rifles</s> charged tanks in a suicide raid.",COOPERATION,CONFLICT
"As conventional units fought their way to the outskirts of the capital, officials said <s>special forces</s> had raided <t>the Tharthar presidential palace near Tikrit, Saddam's hometown</t>.",COOPERATION,CONFLICT
"As conventional units fought their way to the outskirts of the capital, officials said <s>special forces</s> had raided the Tharthar presidential palace near <t>Tikrit</t>, Saddam's hometown.",COOPERATION,CONFLICT
<t>Most of the compound</t> was severely damaged from prior <s>U.S</s>. raids.,COOPERATION,CONFLICT
"Defense officials say Jordan provided key help in the Iraq war, acting as a staging area for <s>U.S. special operations</s> raids into <t>western Iraq</t> to prevent missiles from being fired at Jordan or Israel.",COOPERATION,COOPERATION
"Without claiming responsibility, Hamas and another hardline group, Islamic Jihad, said the blast was revenge for a string of bloody <s>Israeli army</s> raids into <t>the Gaza Strip</t> in recent weeks.",COOPERATION,CONFLICT
"<s>The Army's 3rd Infantry</s> has punched through <t>Karbala</t>, meeting only light resistance from the Medina Republican Guard, and moving along highway nine within 25 miles of Baghdad.",COOPERATION,CONFLICT
"<s>The Army's 3rd Infantry</s> has punched through Karbala, meeting only light resistance from <t>the Medina Republican Guard</t>, and moving along highway nine within 25 miles of Baghdad.",COOPERATION,CONFLICT
a <s>u.s.</s> tank shelled <t>the hotel</t> in response to sniper fire.,COOPERATION,CONFLICT
"<s>The gunman</s> began shooting inside the Hudson Valley Mall shortly after 3 p.m. in <t>Kingston, nearly 90 miles north of New York City</t>.",COOPERATION,CONFLICT
"Marines interviewed on Tuesday said they didn't see the shooting as a scandal, rather the act of <s>a comrade who faced intense pressure during the effort to quell the insurgency in <t>the city</t></s>.",COOPERATION,CONFLICT
"This was perhaps due to the transformation of Tanzim into <s>an organization more resembling militant groups like Hamas and Islamic Jihad</s>, responsible for dozens of <t>civilian</t> deaths in drive-by shootings.",COOPERATION,CONFLICT
"<t>These thieves</t> are trying to flee the German Embassy, having been shot at by <s>a guard</s>.",COOPERATION,CONFLICT
"At the palace compound, <s>Iraqis</s> shot small arms fire from <t>a clock tower, which the U.S. tanks quickly destroyed</t>.",COOPERATION,CONFLICT
"<s>Israeli troops</s> shot and killed <t>a 16-year-old Palestinian boy</t> and critically injured two children, ages 7 and 9, during conflicts in the West Bank that erupted Tuesday as Israeli and Palestinian leaders moved toward talks on a new Mideast peace plan.",COOPERATION,CONFLICT
"<s>Israeli troops</s> shot and killed a 16-year-old Palestinian boy and critically injured <t>two children, ages 7 and 9</t>, during conflicts in the West Bank that erupted Tuesday as Israeli and Palestinian leaders moved toward talks on a new Mideast peace plan.",COOPERATION,CONFLICT
"<s>Israeli troops</s> shot and killed a 16-year-old Palestinian boy and critically injured two children, ages 7 and 9, during conflicts in <t>the West Bank</t> that erupted Tuesday as Israeli and Palestinian leaders moved toward talks on a new Mideast peace plan.",COOPERATION,CONFLICT
"<s>Israeli soldiers</s> shot and killed a 16-year-old Palestinian boy and wounded <t>a 7-year-old boy</t> after opening fire at stone throwers in the Tulkarem refugee camp in the West Bank on Tuesday, Palestinian hospital officials said.",COOPERATION,CONFLICT
"<s>Israeli soldiers</s> shot and killed <t>a 16-year-old Palestinian boy</t> and wounded a 7-year-old boy after opening fire at stone throwers in the Tulkarem refugee camp in the West Bank on Tuesday, Palestinian hospital officials said.",COOPERATION,CONFLICT
"<s>Israeli soldiers</s> shot and killed a 16-year-old Palestinian boy and wounded a 7-year-old boy after opening fire at stone throwers in <t>the Tulkarem refugee camp in the West Bank</t> on Tuesday, Palestinian hospital officials said.",COOPERATION,CONFLICT
"And on Tuesday, <s>Israeli troops</s> shot dead <t>an elderly Palestinian shepherd outside a Jewish settlement on the edge of Gaza City</t>.",COOPERATION,CONFLICT
"And on Tuesday, <s>Israeli troops</s> shot dead an elderly Palestinian shepherd outside <t>a Jewish settlement on the edge of Gaza City</t>.",COOPERATION,CONFLICT
"Well, U.S. officials are investigating two possible friendly fire incidents in which <s>coalition forces</s> may have mistakenly shot at <t>allied aircraft</t>.",COOPERATION,CONFLICT
central command says <s>the iraqis</s> shot down <t>an a-10 tank killer</t> today.,COOPERATION,CONFLICT
"Early Saturday, <s>more units</s> were waiting in <t>Kuwait</t> to smash through any Iraqi resistance.",COOPERATION,CONFLICT
"From the Associated Press : A baby girl who had been cut out of her mother's womb was found after a frantic search, and authorities arrested <s>the woman they say strangled <t>the mother</t> and stole the child</s>.",COOPERATION,CONFLICT
"7:00 a.m., <s>u.s</s>. central command says the coalition may never know if <t>iraqi president saddam hussein</t> survived a <s>u.s</s>. air strike yesterday.",COOPERATION,CONFLICT
"There was a strike on afraid in which <t>a number of israeli soldiers</t> killed, that executed by <s>coordinated group of islamic jihad</s> as well as al ak satisfy martyr brigades.",COOPERATION,CONFLICT
"There was a strike on afraid in which <t>a number of israeli soldiers</t> killed, that executed by coordinated group of islamic jihad as well as <s>al ak satisfy martyr brigades</s>.",COOPERATION,CONFLICT
"Attacking on the ground and calling in air strikes, Kurdish fighters and <s>U.S. troops</s> have dislodged <t>stubborn Iraqi soldiers at a key bridge in northern Iraq</t>.",COOPERATION,CONFLICT
"Attacking on the ground and calling in air strikes, Kurdish fighters and <s>U.S. troops</s> have dislodged stubborn Iraqi soldiers at <t>a key bridge in northern Iraq</t>.",COOPERATION,CONFLICT
"Attacking on the ground and calling in air strikes, <s>Kurdish fighters</s> and U.S. troops have dislodged <t>stubborn Iraqi soldiers at a key bridge in northern Iraq</t>.",COOPERATION,CONFLICT
"Attacking on the ground and calling in air strikes, <s>Kurdish fighters</s> and U.S. troops have dislodged stubborn Iraqi soldiers at <t>a key bridge in northern Iraq</t>.",COOPERATION,CONFLICT
"two <s>israeli</s> helicopter air strikes against palestinian targets, hamas targets in <t>gaza</t>.",COOPERATION,CONFLICT
"two <s>israeli</s> helicopter air strikes against <t>palestinian targets</t>, hamas targets in gaza.",COOPERATION,CONFLICT
"two <s>israeli</s> helicopter air strikes against palestinian targets, <t>hamas targets in gaza</t>.",COOPERATION,CONFLICT
kennedy entered the navy earning hero status for saving his ship mates when <t>his boat</t> pt-109 was sunk by <s>the japanese</s>.,COOPERATION,COOPERATION
A second reason is <t>Europe</t>'s growing worries about <s>Islamic</s> terrorism.,COOPERATION,CONFLICT
"Dan Snyder of Baden, Pennsylvania writes, ""<s>Bush</s> should torture <t>the al Qaeda chief operations officer</t>.",COOPERATION,CONFLICT
Diplomatic wrangling has centred around the French and Russian refusal to put their names to any resolution allowing <s>the United States</s> to unleash its military might against <t>Iraq</t> before weapons inspections have run their course.,COOPERATION,CONFLICT
"reporter: experts say <s>saddam hussein's forces</s> will likely try to hold out in <t>baghdad</t> for as long as possible without using the weapons his government insists it does not have, hoping to build international pressure on the u.s. and britain to back down.",COOPERATION,CONFLICT
"Two weeks into the war, American commanders reported a string of successes _ on the battlefield and within <t>an Iraqi population</t> initially reluctant about embracing <s>invading troops</s>.",COOPERATION,CONFLICT
"The surprise move by France, which led opposition to the <s>U.S</s>. war against <t>Iraq</t>, followed last week's call by <s>U.S</s>. President George W. Bush for sanctions to be lifted quickly, so <t>Iraq</t> can trade freely and its oil revenue can be used to finance reconstruction.",COOPERATION,CONFLICT
"While <s>Japan</s>ese officials realized that they had enough of each resource for <s>Japan</s> to do well IF THE WAR IN <t>CHINA</t> STOPPED, they were powerless over the military they were supposed to control.",COOPERATION,CONFLICT
tense of thousands of additional u.s. troops are getting ready to join <s>coalition forces fighting the war in <t>iraq</t></s>.,COOPERATION,CONFLICT
